+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|     Case    |    $71.0 |   * $99.0 |    NCIX   | Silverstone Raven Z RVZ02B mITX Case 1XODD 2X2.5IN 2XUSB3.0 1XPCI-E x16 Support SFX PSU - Black                                            |
|     Case    |    $71.0 |   * $99.0 |   Newegg  | SilverStone RAVEN RVZ02B Black Computer Case                                                                                               |
| Motherboard |  * $89.0 |    $124.0 |   MicroC  | Gigabyte GA-H97M-D3H LGA1150 mATX Intel Motherboard                                                                                        |
| Motherboard | * $109.0 |    $152.0 |   MicroC  | Gigabyte GA-H97N-WIFI LGA 1150 mini-ITX Intel Motherboard                                                                                  |
| Motherboard |   $107.0 |  * $149.0 |    NCIX   | GIGABYTE H97N-WIFI mITX LGA1150 H97 DDR3 PCI-E16 PCI-E8 SATA3 USB3 HDMI GBLAN Motherboard                                                  |
| Motherboard |    $86.0 |  * $119.0 |    NCIX   | GIGABYTE H97M-D3H mATX LGA1150 H97 DDR3 PCI-E16 PCI-E1 Xfire SATA3 USB3 HDMI Motherboard                                                   |
| Motherboard |    $89.0 |  * $124.0 |    NCIX   | GIGABYTE H97-HD3 LGA 1150 Intel H97 HDMI SATA 6GB/S USB 3.0 ATX Intel Motherboard                                                          |
| Motherboard |    $90.0 |  * $126.0 |    NCIX   | GIGABYTE H97M-HD3 mATX LGA1150 H97 DDR3 PCI-E16 2PCI-E1 SATA3 USB3 HDMI Motherboard                                                        |
| Motherboard |    $81.0 |  * $114.0 |   Newegg  | GIGABYTE GA-H97M-D3H Micro ATX Intel Motherboard                                                                                           |
| Motherboard |    $85.0 |  * $119.0 |   Newegg  | GIGABYTE GA-H97-HD3 ATX Intel Motherboard                                                                                                  |
